,short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking,skill,movement,power,mentality
199,Raúl Albiol,Raúl Albiol Tortajada,82,35,1985-09-04,190,82,RCB,Defender,Villarreal CF,Spain Primera Division,Spain,3,Right,3,2,Dives Into Tackles (AI)  Leadership  Long Passer (AI),40,41,62,63,86,73,49.4,60,53.2,65,62.1666666666667
200,Pepe,Kléper Laveran de Lima Ferreira,82,38,1983-02-26,188,80,LCB,Defender,FC Porto,Portuguese Liga ZON SAGRES,Portugal,3,Right,3,2,Dives Into Tackles (AI)  Leadership,80,51,60,61,82,87,53.8,56.8,70.2,75.2,66.1666666666667
201,Grimaldo,Alejandro Grimaldo García,82,25,1995-09-20,171,69,LWB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Spain,3,Left,2,3,Injury Prone  Long Passer (AI)  Speed Dribbler (AI),87,65,81,83,74,71,68.8,82.2,85.2,75,73.3333333333333
202,Mário Fernandes,Mário Figueira Fernandes,82,30,1990-09-19,187,80,RB,Defender,PFC CSKA Moscow,Russian Premier League,Russia,2,Right,3,3,Team Player,82,61,74,78,79,79,68.6,67,76.6,75.4,71.8333333333333
203,Suso,Jesús Joaquín Fernández Sáez de la Torre,82,27,1993-11-19,176,70,RW,Forward,Sevilla FC,Spain Primera Division,Spain,7,Left,3,4,Early Crosser  Finesse Shot  Long Shot Taker (AI)  Technical Dribbler (AI),76,76,82,85,32,55,72.4,83.6,78.6,68.2,60.8333333333333
204,Y. Bounou,Yassine Bounou,82,30,1991-04-05,192,78,GK,GK,Sevilla FC,Spain Primera Division,Morocco,13,Left,2,1,GK Long Throw  Comes For Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,19,21.4,45.4,47.2,31.3333333333333
205,O. Baumann,Oliver Baumann,82,31,1990-06-02,187,82,GK,GK,TSG Hoffenheim,German 1. Bundesliga,Germany,1,Right,1,1,Leadership  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,16.4,16.8,53.6,50.6,29.6666666666667
206,M. de Roon,Marten Elco de Roon,82,30,1991-03-29,185,76,RCM,Midfield,Atalanta,Italian Serie A,Netherlands,15,Right,3,3,Solid Player,66,68,71,73,82,83,69,66.2,69.6,80.4,77.6666666666667
207,H. Çalhanoğlu,Hakan Çalhanoğlu,82,27,1994-02-08,178,76,LCM,Midfield,Inter,Italian Serie A,Turkey,20,Right,4,4,Flair  Long Passer (AI)  Long Shot Taker (AI)  Outside Foot Shot,67,78,84,85,59,57,73.6,85.4,74.4,66.6,73
208,Juan Bernat,Juan Bernat Velasco,82,28,1993-03-01,170,67,LB,Defender,Paris Saint-Germain,French Ligue 1,Spain,14,Left,3,4,Speed Dribbler (AI),82,65,78,82,76,68,69.2,73.2,83.8,68.2,73.3333333333333
209,J. Veretout,Jordan Veretout,82,28,1993-03-01,177,67,LDM,Midfield,Roma,Italian Serie A,France,17,Right,3,3,Long Shot Taker (AI)  Playmaker (AI),77,75,77,79,77,81,70.8,75.6,78.4,80.2,78.5
210,Gabriel Paulista,Gabriel Armando de Abreu,82,30,1990-11-26,185,72,RCB,Defender,Valencia CF,Spain Primera Division,Brazil,5,Right,2,2,Dives Into Tackles (AI),67,49,71,65,84,83,63.6,61.2,69,71.4,68.3333333333333
211,Campaña,José Ángel Gómez Campaña,82,28,1993-05-31,179,70,LCM,Midfield,Levante Unión Deportiva,Spain Primera Division,Spain,24,Right,3,4,Finesse Shot  Playmaker (AI)  Outside Foot Shot,68,74,83,82,71,72,73.8,82.6,74,73.2,74.6666666666667
212,A. Lopes,Anthony Lopes,82,30,1990-10-01,184,81,GK,GK,Olympique Lyonnais,French Ligue 1,Portugal,1,Left,2,1,Team Player  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,19.6,19.2,67.6,52.4,34.6666666666667
213,W. Zaha,Wilfried Zaha,82,28,1992-11-10,180,66,RW,Forward,Crystal Palace,English Premier League,Côte d'Ivoire,11,Right,3,5,Flair  Technical Dribbler (AI),89,77,73,87,34,75,68.8,71.4,84,72.8,68
214,K. Laimer,Konrad Laimer,81,24,1997-05-27,180,72,RDM,Midfield,RB Leipzig,German 1. Bundesliga,Austria,27,Right,3,3,Dives Into Tackles (AI),81,68,77,78,80,77,71.6,70.2,78.4,74,74.8333333333333
215,D. Calvert-Lewin,Dominic Calvert-Lewin,81,24,1997-03-16,187,71,ST,Forward,Everton,English Premier League,England,9,Right,3,3,Power Header,83,77,64,77,39,82,76.2,64.2,76.6,79.6,69
216,K. Phillips,Kalvin Phillips,81,25,1995-12-02,178,72,CDM,Midfield,Leeds United,English Premier League,England,23,Right,3,3,Dives Into Tackles (AI)  Long Passer (AI)  Team Player,67,65,76,75,78,82,66.4,73.4,71,77.4,73.1666666666667
217,David Soria,David Soria Solís,81,28,1993-04-04,192,85,GK,GK,Getafe CF,Spain Primera Division,Spain,13,Right,3,1,Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,20.2,20.4,50.8,50.2,30
218,N. Pépé,Nicolas Pépé,81,26,1995-05-29,183,73,RM,Midfield,Arsenal,English Premier League,Côte d'Ivoire,19,Left,2,4,Finesse Shot  Flair  Long Shot Taker (AI)  Speed Dribbler (AI)  Technical Dribbler (AI),88,79,75,83,36,65,71.8,78.4,84,74,65.1666666666667
219,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,81,24,1996-11-29,179,68,LS,Forward,Valencia CF,Spain Primera Division,Portugal,7,Right,4,4,Injury Prone  Flair  Speed Dribbler (AI),86,79,76,82,36,68,72.4,75.8,82,74.6,69
220,Morales,José Luis Morales Nogales,81,33,1987-07-23,180,70,LS,Forward,Levante Unión Deportiva,Spain Primera Division,Spain,11,Right,4,4,Leadership  Speed Dribbler (AI)  Outside Foot Shot  Team Player,86,82,75,85,52,68,77.2,77.8,83.2,73.6,72.6666666666667
221,D. Djené,Djené Dakonam Ortega,81,29,1991-12-31,178,72,RCB,Defender,Getafe CF,Spain Primera Division,Togo,2,Right,4,2,Long Throw-in  Solid Player  Dives Into Tackles (AI)  Leadership  Long Passer (AI),69,37,62,62,83,79,52.6,57.8,71.4,64.8,63
222,D. Machís,Darwin Daniel Machís Marcano,81,28,1993-02-07,174,74,RM,Midfield,Granada CF,Spain Primera Division,Venezuela,11,Right,4,4,Long Shot Taker (AI)  Speed Dribbler (AI)  Technical Dribbler (AI),88,80,75,83,38,70,69,75.6,87.2,77,69.1666666666667
223,M. Politano,Matteo Politano,81,27,1993-08-03,171,67,RW,Forward,Napoli,Italian Serie A,Italy,21,Left,4,4,Finesse Shot  Long Shot Taker (AI)  Technical Dribbler (AI),83,77,78,84,42,55,70,79.8,84.6,65.8,67.1666666666667
224,Iñaki Williams,Iñaki Williams Arthuer,81,27,1994-06-15,186,80,LS,Forward,Athletic Club de Bilbao,Spain Primera Division,Spain,9,Right,2,4,Solid Player  Leadership  Speed Dribbler (AI)  Outside Foot Shot  Team Player  Chip Shot (AI),94,78,72,78,37,81,74.8,70.4,81.8,83,66.5
225,O. Vlachodimos,Odisseas Vlachodimos,81,27,1994-04-26,191,78,GK,GK,SL Benfica,Portuguese Liga ZON SAGRES,Greece,99,Right,3,1,Cautious With Crosses  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,16.2,18,54.6,49.4,31.5
226,Otávio,Otávio Edmilson da Silva Monteiro,81,26,1995-02-09,172,71,RM,Midfield,FC Porto,Portuguese Liga ZON SAGRES,Portugal,25,Right,3,4,Flair  Long Passer (AI)  Playmaker (AI)  Technical Dribbler (AI),78,69,79,85,63,68,69.2,80,81,65,75.1666666666667
227,P. Zieliński,Piotr Sebastian Zieliński,81,27,1994-05-20,180,75,CAM,Midfield,Napoli,Italian Serie A,Poland,20,Right,5,4,Long Shot Taker (AI)  Technical Dribbler (AI),81,75,81,85,70,61,72,79.6,81,69.2,69.8333333333333
228,Rui Silva,Rui Tiago Dantas da Silva,81,27,1994-02-07,191,91,GK,GK,Real Betis Balompié,Spain Primera Division,Portugal,13,Right,3,1,Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,18.4,21.4,38,45,32.5
229,N. Mukiele,Nordi Mukiele Mulere,81,23,1997-11-01,187,84,RB,Defender,RB Leipzig,German 1. Bundesliga,France,22,Right,3,3,Dives Into Tackles (AI)  Early Crosser,80,49,69,73,82,80,60,63.8,73.6,73.4,68
230,Reguilón,Sergio Reguilón Rodríguez,81,24,1996-12-16,178,68,LB,Defender,Tottenham Hotspur,English Premier League,Spain,3,Left,3,3,Early Crosser  Speed Dribbler (AI),86,58,75,78,78,70,65.8,69.4,79.4,67.2,69.6666666666667
231,Álex Remiro,Alejandro Remiro Gargallo,81,26,1995-03-24,191,83,GK,GK,Real Sociedad,Spain Primera Division,Spain,1,Right,4,1,GK Long Throw,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,17.4,20.4,53.8,50.4,29.8333333333333
232,Yeray,Yeray Álvarez López,81,26,1995-01-24,182,79,RCB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,5,Right,3,2,Dives Into Tackles (AI),68,49,62,64,82,77,59.2,60.8,68.6,69.6,65.8333333333333
233,Fred,Frederico Rodrigues de Paula Santos,81,28,1993-03-05,169,62,LDM,Midfield,Manchester United,English Premier League,Brazil,17,Left,4,4,Solid Player  Long Shot Taker (AI),77,66,77,81,75,71,65.8,77.8,83.2,74,76
234,Pedri,Pedro González López,81,18,2002-11-25,174,61,LCM,Midfield,FC Barcelona,Spain Primera Division,Spain,16,Right,4,4,Solid Player  Flair  Technical Dribbler (AI),78,65,79,84,66,63,63.2,74.2,83,66.2,71.1666666666667
235,E. Tapsoba,Edmond Fayçal Tapsoba,81,22,1999-02-02,194,85,RCB,Defender,Bayer 04 Leverkusen,German 1. Bundesliga,Burkina Faso,12,Right,3,2,Long Passer (AI)  Power Header,75,52,65,69,82,79,57.8,59.2,71.6,67.6,70
236,M. Diaby,Moussa Diaby,81,21,1999-07-07,170,68,RM,Midfield,Bayer 04 Leverkusen,German 1. Bundesliga,France,19,Left,2,4,Speed Dribbler (AI)  Technical Dribbler (AI),94,67,73,85,41,53,63.4,69.2,90,60.6,61.5
237,Pedro Gonçalves,Pedro António Pereira Gonçalves,81,23,1998-06-28,173,65,RW,Forward,Sporting CP,Portuguese Liga ZON SAGRES,Portugal,28,Right,4,4,Finesse Shot  Flair  Long Shot Taker (AI)  Playmaker (AI)  Technical Dribbler (AI),76,81,79,84,56,65,72.2,78.8,81.4,68.6,75.8333333333333
238,R. James,Reece James,81,21,1999-12-08,178,87,RCB,Defender,Chelsea,English Premier League,England,24,Right,3,3,Early Crosser,80,58,77,77,76,80,65.6,77.2,78.2,75.2,67.8333333333333
239,M. Lazzari,Manuel Lazzari,81,27,1993-11-29,174,67,RB,Defender,Lazio,Italian Serie A,Italy,29,Right,3,3,Speed Dribbler (AI),92,62,76,82,70,65,66.2,72.8,88.2,58.2,69.6666666666667
240,H. Aouar,Houssem Aouar,81,23,1998-06-30,175,70,LM,Midfield,Olympique Lyonnais,French Ligue 1,France,8,Right,3,4,Finesse Shot  Flair  Playmaker (AI)  Outside Foot Shot  Technical Dribbler (AI),75,75,81,85,66,71,71.8,80.8,80,71.6,76
241,H. Barnes,Harvey Lewis Barnes,81,23,1997-12-09,180,66,LM,Midfield,Leicester City,English Premier League,England,7,Right,4,3,Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot,86,77,76,81,45,63,69,75.2,82.6,71,63.3333333333333
242,Carlos Soler,Carlos Soler Barragán,81,24,1997-01-02,180,76,RM,Midfield,Valencia CF,Spain Primera Division,Spain,10,Right,4,3,Early Crosser  Long Shot Taker (AI)  Team Player,78,77,82,79,71,71,72.4,81,77.2,72.4,76.6666666666667
243,Lucas Paquetá,Lucas Tolentino Coelho de Lima,81,23,1997-08-27,180,72,CAM,Midfield,Olympique Lyonnais,French Ligue 1,Brazil,10,Left,3,4,Dives Into Tackles (AI)  Flair  Outside Foot Shot  Technical Dribbler (AI),74,75,79,83,69,78,71.6,80.2,77,77.6,78.5
244,C. Nkunku,Christopher Nkunku,81,23,1997-11-14,179,72,LAM,Midfield,RB Leipzig,German 1. Bundesliga,France,18,Right,3,4,Finesse Shot  Outside Foot Shot  Technical Dribbler (AI),79,74,81,85,69,65,71.2,81.8,81,70.2,71.8333333333333
245,R. Malinovskyi,Ruslan Malinovskyi,81,28,1993-05-04,181,79,RF,Forward,Atalanta,Italian Serie A,Ukraine,18,Left,4,4,Power Free-Kick  Long Passer (AI)  Long Shot Taker (AI)  Technical Dribbler (AI),74,80,83,81,64,79,76.2,84,73.2,82.2,77.1666666666667
246,Oswaldinato,Marvin Oswaldo Rangel Azevedo,81,29,1992-02-29,184,79,ST,Forward,Flamengo,Campeonato Brasileiro Série A,Brazil,20,Right,3,2,Long Shot Taker (AI)  Power Header,76,81,67,77,20,78,75.6,64.6,75.2,79,65.5
247,Louri Beretta,Lourival Adnan Beretta Barbosa,81,29,1992-02-29,188,83,ST,Forward,RB Bragantino,Campeonato Brasileiro Série A,Brazil,9,Right,3,4,Power Header,78,84,62,72,33,71,75.8,64.4,69.4,77.2,65.6666666666667
248,Rosberto Dourado,Rosberto J. Dourado Santos,81,21,2000-02-29,175,70,RDM,Midfield,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,Brazil,22,Right,4,2,Finesse Shot  Long Passer (AI)  Technical Dribbler (AI),77,57,74,77,82,68,64.6,68.4,76.4,61.2,75
249,Juiano Mestres,Juan Everton Mestres de Mesquita,81,25,1996-02-29,181,82,RCB,Defender,Clube Atlético Mineiro,Campeonato Brasileiro Série A,Brazil,21,Right,3,2,Power Header,71,61,57,63,82,80,61.8,62.4,68.8,76.2,68
250,L. Pellegrini,Lorenzo Pellegrini,81,25,1996-06-19,186,77,CAM,Midfield,Roma,Italian Serie A,Italy,7,Right,3,3,Leadership  Long Shot Taker (AI)  Playmaker (AI)  Outside Foot Shot  Team Player,78,74,81,80,72,77,74.4,76.6,80,76.4,77.6666666666667
251,José Fonte,José Miguel da Rocha Fonte,81,37,1983-12-22,191,84,RCB,Defender,LOSC Lille,French Ligue 1,Portugal,6,Right,3,2,Solid Player  Dives Into Tackles (AI)  Leadership  Power Header  Team Player,32,46,62,63,83,77,56.8,56.2,48.2,63.6,66.3333333333333
252,Jonathan Viera,Jonathan Viera Ramos,81,31,1989-10-01,171,67,CAM,Midfield,Unión Deportiva Las Palmas,Spanish Segunda División,Spain,21,Right,4,4,Flair  Playmaker (AI)  Technical Dribbler (AI),82,75,79,82,63,69,72,79.8,81.6,71.6,73.3333333333333
253,D. Ings,Daniel William John Ings,81,28,1992-07-23,178,73,ST,Forward,Aston Villa,English Premier League,England,20,Right,4,3,Injury Prone  Finesse Shot,79,84,70,80,45,70,76.2,72.4,79.6,77.6,72.8333333333333
254,K. Kampl,Kevin Kampl,81,30,1990-10-09,178,66,LDM,Midfield,RB Leipzig,German 1. Bundesliga,Slovenia,44,Right,4,3,Flair  Technical Dribbler (AI),70,67,81,85,63,62,64.6,80.4,79,68.6,73.8333333333333
255,Aitor,Aitor Fernández Abarisketa,81,30,1991-05-03,182,78,GK,GK,Levante Unión Deportiva,Spain Primera Division,Spain,1,Right,2,1,Cautious With Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,23,23.8,61.8,46.4,30.1666666666667
256,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,81,33,1988-02-12,183,76,CB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Argentina,30,Right,3,2,Solid Player  Dives Into Tackles (AI)  Leadership  Power Header,63,57,62,59,83,81,63,55.2,64,73.6,66.5
257,B. André,Benjamin André,81,30,1990-08-03,180,74,RCM,Midfield,LOSC Lille,French Ligue 1,France,21,Right,3,3,Solid Player  Leadership,67,64,74,75,80,85,69.6,68.4,71.6,79.8,76.6666666666667
258,Marlos,Marlos Romero Bonfim,81,33,1988-06-07,174,76,RM,Midfield,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,11,Left,3,5,Finesse Shot  Flair  Technical Dribbler (AI),79,76,78,86,47,68,70.4,80.4,80.2,72.6,71.1666666666667
259,M. Arnautović,Marko Arnautović,81,32,1989-04-19,192,83,ST,Forward,Bologna,Italian Serie A,Austria,9,Right,4,4,Flair  Long Shot Taker (AI),79,81,79,78,44,82,79.2,76.8,77.2,81.6,72.1666666666667
260,M. Kruse,Max Bennet Kruse,81,33,1988-03-19,180,76,LS,Forward,1. FC Union Berlin,German 1. Bundesliga,Germany,10,Left,4,4,Injury Prone  Playmaker (AI)  Technical Dribbler (AI),64,81,81,82,40,66,77,79.4,72.6,71.4,73.1666666666667
261,I. Perišić,Ivan Perišić,81,32,1989-02-02,186,80,LM,Midfield,Inter,Italian Serie A,Croatia,14,Left,5,4,Flair,81,79,76,79,64,74,79.4,75.6,80.2,79.4,74.5
262,Lucas Leiva,Lucas Pezzini Leiva,81,34,1987-01-09,179,78,CDM,Midfield,Lazio,Italian Serie A,Brazil,6,Right,3,3,Dives Into Tackles (AI),56,65,73,76,82,69,66.8,69.8,68.6,70,76.3333333333333
263,J. Vertonghen,Jan Vertonghen,81,34,1987-04-24,189,86,LCB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Belgium,5,Left,3,3,Power Free-Kick,76,62,72,67,83,78,66,68.8,69.8,77.4,71.3333333333333
264,Joaquín,Joaquín Sánchez Rodríguez,81,39,1981-07-21,179,75,RM,Midfield,Real Betis Balompié,Spain Primera Division,Spain,17,Right,3,4,Leadership  Flair  Technical Dribbler (AI),68,80,84,81,44,55,76.8,82.6,71.4,59,69.1666666666667
265,G. Higuaín,Gonzalo Gerardo Higuaín,81,33,1987-12-10,186,89,ST,Forward,Inter Miami CF,USA Major League Soccer,Argentina,9,Right,4,3,Leadership  Outside Foot Shot,58,84,71,78,29,71,77.8,73.2,65.4,75.8,63.8333333333333
266,S. Mandanda,Steve Mandanda,81,36,1985-03-28,185,82,GK,GK,Olympique de Marseille,French Ligue 1,France,30,Right,3,1,Leadership  Team Player,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,19.8,21.4,52.8,45.4,33.1666666666667
267,A. Gignac,André-Pierre Christian Gignac,81,35,1985-12-05,189,85,RS,Forward,Tigres U.A.N.L.,Mexican Liga MX,France,10,Right,3,3,Leadership  Finesse Shot  Long Shot Taker (AI)  Power Header  Outside Foot Shot,68,83,73,75,41,84,77.6,74,68.4,80.2,74
268,Nani,Luís Carlos Almeida da Cunha,81,34,1986-11-17,177,70,ST,Forward,Orlando City Soccer Club,USA Major League Soccer,Portugal,17,Right,5,5,Injury Prone  Flair  Outside Foot Shot  Technical Dribbler (AI),70,77,81,85,37,68,74.8,83,77,66.6,70.5
269,B. Yılmaz,Burak Yılmaz,81,35,1985-07-15,188,77,LS,Forward,LOSC Lille,French Ligue 1,Turkey,17,Right,4,3,Injury Prone  Leadership  Outside Foot Shot,79,83,69,73,34,79,74.6,70.6,72.8,77.8,73
270,A. Belotti,Andrea Belotti,81,27,1993-12-20,181,84,ST,Forward,Torino F.C.,Italian Serie A,Italy,9,Right,5,3,Leadership  Power Header  Outside Foot Shot  Team Player,76,81,59,78,38,83,73.4,64.6,77,78.8,69.8333333333333
271,Adán,Antonio Adán Garrido,81,34,1987-05-13,190,86,GK,GK,Sporting CP,Portuguese Liga ZON SAGRES,Spain,1,Left,2,1,Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,19,18.6,58.4,50.2,33.6666666666667
272,E. Forsberg,Emil Peter Forsberg,81,29,1991-10-23,177,76,CAM,Midfield,RB Leipzig,German 1. Bundesliga,Sweden,10,Right,4,4,Injury Prone  Flair  Outside Foot Shot  Technical Dribbler (AI),70,73,82,83,35,62,70.2,79.8,76.6,64.8,69.3333333333333
273,Danilo,Danilo Luiz da Silva,81,29,1991-07-15,184,78,RB,Defender,Juventus,Italian Serie A,Brazil,6,Right,4,3,Solid Player,73,67,73,74,82,79,71.4,74.4,70.2,77,73.3333333333333
274,A. Januzaj,Adnan Januzaj,81,26,1995-02-05,186,76,RW,Forward,Real Sociedad,Spain Primera Division,Belgium,11,Left,4,4,Flair  Outside Foot Shot  Technical Dribbler (AI),79,75,80,83,30,58,70.2,79.2,79.2,67.8,62.3333333333333
275,M. Arnold,Maximilian Arnold,81,27,1994-05-27,184,74,LDM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Germany,27,Left,2,3,Power Free-Kick  Long Passer (AI)  Long Shot Taker (AI)  Outside Foot Shot,65,81,79,78,76,74,74,81.4,69.6,77.4,74.3333333333333
276,E. Višća,Edin Višća,81,31,1990-02-17,172,63,RM,Midfield,İstanbul Başakşehir FK,Turkish Süper Lig,Bosnia and Herzegovina,7,Right,4,4,Long Shot Taker (AI)  Speed Dribbler (AI)  Playmaker (AI)  Outside Foot Shot  Team Player,87,78,78,82,47,64,71.4,75.4,85.8,74,69.8333333333333
277,J. Ward-Prowse,James Ward-Prowse,81,26,1994-11-01,173,66,RCM,Midfield,Southampton,English Premier League,England,8,Right,3,3,Solid Player  Early Crosser  Long Passer (AI)  Long Shot Taker (AI)  Team Player,59,74,86,78,67,73,70.6,85.2,69.2,76.2,73.8333333333333
278,A. Milik,Arkadiusz Krystian Milik,81,27,1994-02-28,186,78,ST,Forward,Olympique de Marseille,French Ligue 1,Poland,9,Left,3,4,Injury Prone  Outside Foot Shot,64,84,67,76,39,71,75,76,66.6,74.8,68
279,W. Orban,Vilmos Tamás Orban,81,28,1992-11-03,186,87,RCB,Defender,RB Leipzig,German 1. Bundesliga,Hungary,4,Right,3,2,Leadership  Power Header,49,36,52,55,84,80,52.4,45.4,55.6,62,60
280,Iñigo Martínez,Íñigo Martínez Berridi,81,30,1991-05-17,182,77,LCB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,4,Left,3,2,Dives Into Tackles (AI)  Long Passer (AI),71,56,66,64,81,79,56.2,66.8,70,79.2,63
281,A. Cragno,Alessio Cragno,81,27,1994-06-28,184,78,GK,GK,Cagliari,Italian Serie A,Italy,28,Right,3,1,Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,16.6,16.4,46.6,48.8,33.1666666666667
282,Nacho Fernández,José Ignacio Fernández Iglesias,81,31,1990-01-18,180,76,LCB,Defender,Real Madrid CF,Spain Primera Division,Spain,6,Right,4,2,Team Player,78,37,66,69,81,80,59.4,58.6,74.4,65,61.8333333333333
283,J. Tarkowski,James Tarkowski,81,28,1992-11-19,188,81,RCB,Defender,Burnley,English Premier League,England,5,Right,4,2,Long Passer (AI)  Power Header,57,45,67,65,82,81,59.2,62.4,59.8,68.2,67.5
284,A. Marchesín,Agustín Federico Marchesín,81,33,1988-03-16,188,84,GK,GK,FC Porto,Portuguese Liga ZON SAGRES,Argentina,1,Right,3,1,Leadership  Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,19,21.8,63.2,48.2,36.8333333333333
285,Lucas Moura,Lucas Rodrigues Moura da Silva,81,28,1992-08-13,174,70,RW,Forward,Tottenham Hotspur,English Premier League,Brazil,27,Right,4,4,Flair  Speed Dribbler (AI)  Team Player,90,79,70,86,43,68,71.2,75.6,89,77.4,71.8333333333333
286,Paco Alcácer,Francisco Alcácer García,81,27,1993-08-30,175,70,LS,Forward,Villarreal CF,Spain Primera Division,Spain,9,Right,4,3,Injury Prone  Long Shot Taker (AI)  Chip Shot (AI),77,84,69,81,35,61,77.2,76.2,80.8,71.2,65.1666666666667
287,T. Vaclík,Tomáš Vaclík,81,32,1989-03-29,188,85,GK,GK,Olympiacos CFP,Greek Super League,Czech Republic,1,Right,3,1,Team Player  Rushes Out Of Goal  Comes For Crosses,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,15.6,21,51.2,51.2,34.6666666666667
288,J. Rodríguez,Jonathan Javier Rodríguez Portillo,80,27,1993-07-06,177,79,ST,Forward,Cruz Azul,Mexican Liga MX,Uruguay,21,Right,3,4,Chip Shot (AI),88,80,67,81,38,76,72.4,70.6,84,77.2,67.3333333333333
289,Joan Jordán,Joan Jordán Moreno,80,26,1994-07-06,183,74,RCM,Midfield,Sevilla FC,Spain Primera Division,Spain,8,Right,4,4,Dives Into Tackles (AI)  Long Shot Taker (AI),63,75,81,77,67,76,67,81.4,65.4,73.6,74.3333333333333
290,Borja Iglesias,Borja Iglesias Quintas,80,28,1993-01-17,187,86,ST,Forward,Real Betis Balompié,Spain Primera Division,Spain,9,Right,3,3,Finesse Shot  Outside Foot Shot,65,80,64,74,35,80,71.2,61,67.8,77.6,68.6666666666667
291,J. Bamba,Jonathan Bamba,80,25,1996-03-26,175,70,LM,Midfield,LOSC Lille,French Ligue 1,France,7,Right,4,4,Solid Player  Flair  Long Shot Taker (AI)  Speed Dribbler (AI)  Outside Foot Shot,89,75,74,81,39,69,70.4,74,84.6,74.4,68
292,Álex Berenguer,Alejandro Berenguer Remiro,80,25,1995-07-04,175,73,RM,Midfield,Athletic Club de Bilbao,Spain Primera Division,Spain,7,Right,4,3,Finesse Shot  Speed Dribbler (AI)  Outside Foot Shot,82,76,76,81,63,65,70.6,75,82.6,70.4,72.6666666666667
293,K. Tierney,Kieran Tierney,80,24,1997-06-05,178,70,LB,Defender,Arsenal,English Premier League,Scotland,3,Left,3,3,Long Throw-in  Injury Prone  Speed Dribbler (AI),84,60,75,77,75,79,61.6,70.2,79.6,77,70.5
294,Everton,Éverton Sousa Soares,80,25,1996-03-22,174,72,LM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,7,Right,3,4,Flair  Long Shot Taker (AI)  Technical Dribbler (AI),86,75,73,85,32,62,68,75,85,70.8,61.8333333333333
295,A. Christensen,Andreas Bødtker Christensen,80,25,1996-04-10,187,81,CB,Defender,Chelsea,English Premier League,Denmark,4,Right,3,2,Injury Prone,65,31,65,68,83,72,53.6,58,65.8,53.4,60.1666666666667
296,J. Denayer,Jason Denayer,80,26,1995-06-28,184,80,LCB,Defender,Olympique Lyonnais,French Ligue 1,Belgium,5,Right,3,2,Leadership  Team Player,83,43,67,71,81,81,57.8,58.8,75.2,67.8,63.1666666666667
297,Embarba,Adrián Embarba Blázquez,80,29,1992-05-07,173,68,RM,Midfield,RCD Espanyol de Barcelona,Spain Primera Division,Spain,23,Right,4,4,Power Free-Kick  Early Crosser  Long Shot Taker (AI)  Speed Dribbler (AI)  Technical Dribbler (AI),83,77,78,79,55,72,72.4,77,81.8,74.8,72.6666666666667
298,Capa,Ander Capa Rodríguez,80,29,1992-02-08,175,75,RB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,21,Right,3,3,Long Throw-in  Injury Prone  Speed Dribbler (AI),82,64,76,77,74,88,66.2,71.6,81,82,74.1666666666667
299,G. Rulli,Gerónimo Rulli,80,29,1992-05-20,189,84,GK,GK,Villarreal CF,Spain Primera Division,Argentina,13,Right,3,1,Saves with Feet,73.8988941548183,67.4723538704581,72.8862559241706,76.4881516587678,62.7219589257504,73.2922590837283,17.4,18.2,58.4,51.2,33.6666666666667
